step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,intersection_stopped,intersection_accumulated_waiting_time,intersection_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
600.0,6,209.0,17.416666666666668,1.7001984928523912,6,694.0,0.07339779783000566,6,694.0
605.0,3,74.0,6.166666666666667,7.373768445335062,3,225.0,0.2502690895041773,3,225.0
610.0,6,95.0,10.555555555555555,4.239344711847319,6,246.0,0.0005928009607643335,6,246.0
615.0,6,125.0,13.88888888888889,4.216794212442932,6,276.0,0.0,6,276.0
620.0,6,155.0,15.5,5.323109594991611,6,306.0,0.14285714285714285,6,306.0
625.0,6,185.0,20.555555555555557,3.1240209764823472,6,336.0,0.14260042394767986,6,336.0
630.0,7,219.0,24.333333333333332,2.1014128970227492,7,370.0,0.06499861056346579,7,370.0
635.0,8,257.0,32.125,6.950342595029606e-05,8,408.0,4.639204858809994e-06,8,408.0
640.0,4,193.0,24.125,2.392779198452689,4,239.0,0.10005328403565346,4,239.0
645.0,4,213.0,26.625,6.377768645875421,4,213.0,0.0,4,213.0
650.0,3,209.0,29.857142857142858,5.6629064571664225,3,209.0,0.0,3,209.0
655.0,3,224.0,32.0,7.01022354286053,3,224.0,0.0,3,224.0
660.0,3,239.0,39.833333333333336,6.225016766642923,3,239.0,0.0,3,239.0
665.0,3,254.0,63.5,2.3904629562919344,3,254.0,0.0,3,254.0
670.0,0,0.0,0.0,6.475260305552814,0,74.0,0.27135015528242956,0,74.0
675.0,0,0.0,0.0,13.082144607163425,0,0.0,0.814269464925756,0,0.0
680.0,1,3.0,0.6,11.378561163892908,1,3.0,0.4970621413666851,1,3.0
685.0,2,9.0,2.25,7.392968611435233,2,9.0,0.4825450483561821,2,9.0
690.0,2,19.0,4.75,7.2406061520967455,2,19.0,0.47154807791793674,2,19.0
695.0,2,13.0,3.25,2.6719160405863644,2,13.0,0.11409576186724192,2,13.0
700.0,3,26.0,6.5,3.066668442516838,3,26.0,4.2822879085759425e-05,3,26.0
705.0,3,41.0,10.25,3.0946540342295505,3,41.0,0.0,3,41.0
710.0,3,56.0,18.666666666666668,0.0,3,56.0,0.0,3,56.0
715.0,3,71.0,23.666666666666668,0.0,3,71.0,0.0,3,71.0
720.0,3,86.0,28.666666666666668,0.0,3,86.0,0.0,3,86.0
725.0,3,101.0,33.666666666666664,0.0,3,101.0,0.0,3,101.0
730.0,3,116.0,23.2,4.7002542402317005,3,116.0,0.3816298711346363,3,116.0
735.0,3,131.0,26.2,4.543898854185938,3,131.0,0.36909503170455293,3,131.0
740.0,3,146.0,29.2,4.307042120253946,3,146.0,0.3502660410113082,3,146.0
745.0,4,163.0,32.6,2.294729535158385,4,163.0,0.18839911640962775,4,163.0
750.0,0,0.0,0.0,6.438300849848528,0,56.0,0.5240030739630316,0,56.0
755.0,1,1.0,0.2,10.996946283848294,1,1.0,0.0028310231856958972,1,1.0
760.0,0,0.0,0.0,12.383435158479884,0,0.0,1.0,0,0.0
765.0,0,0.0,0.0,13.324218436112504,0,0.0,0.97641055980204,0,0.0
770.0,0,0.0,0.0,13.207421202970067,0,0.0,0.923362607354522,0,0.0
775.0,0,0.0,0.0,12.572604215499338,0,0.0,0.9600123232157789,0,0.0
780.0,0,0.0,0.0,12.586372007984663,0,0.0,0.9297357868482371,0,0.0
785.0,0,0.0,0.0,11.234309696125896,0,0.0,0.8633577837620549,0,0.0
790.0,1,3.0,0.5,7.095370084926054,1,3.0,0.49829398620979,1,3.0
795.0,3,16.0,2.2857142857142856,6.434241006941197,3,16.0,0.4234556919872281,3,16.0
800.0,3,31.0,4.428571428571429,6.059484705401909,3,31.0,0.3695674268530915,3,31.0
805.0,4,47.0,7.833333333333333,4.262285875975659,4,47.0,8.133855362899615e-05,4,47.0
810.0,1,20.0,3.3333333333333335,6.877304926816829,1,24.0,0.12283447636608315,1,24.0
815.0,1,25.0,4.166666666666667,10.609321017953151,1,25.0,0.0,1,25.0
820.0,1,30.0,3.75,11.742295193601755,1,30.0,0.6537785932776665,1,30.0
825.0,1,35.0,5.833333333333333,11.148711272149129,1,35.0,0.7288720417911052,1,35.0
830.0,2,41.0,10.25,3.081892129904305,2,41.0,0.25123445441079034,2,41.0
835.0,1,45.0,9.0,6.342367946890288,1,45.0,0.5096497309033854,1,45.0
840.0,1,50.0,7.142857142857143,11.6102375634573,1,50.0,0.715948074785435,1,50.0
845.0,0,0.0,0.0,11.291884069037932,0,0.0,0.8294089137486657,0,0.0
850.0,1,2.0,0.3333333333333333,6.8878496196954755,1,2.0,0.029254595347265266,1,2.0
855.0,3,15.0,2.142857142857143,7.350102294958272,3,15.0,0.2501315733255385,3,15.0
860.0,3,30.0,5.0,5.977586566623842,3,30.0,0.22822692211594314,3,30.0
865.0,3,45.0,9.0,4.623421077728983,3,45.0,0.1885990606541472,3,45.0
870.0,4,61.0,15.25,0.0004858659152965767,4,61.0,3.860877211650167e-05,4,61.0
875.0,4,81.0,20.25,0.0,4,81.0,0.0,4,81.0
880.0,0,0.0,0.0,5.495186491446889,0,35.0,0.2974326488942959,0,35.0
885.0,0,0.0,0.0,12.39582440799079,0,0.0,1.0,0,0.0
890.0,0,0.0,0.0,12.943968805788987,0,0.0,1.0,0,0.0
895.0,0,0.0,0.0,12.858163972938673,0,0.0,1.0,0,0.0
900.0,0,0.0,0.0,12.24246420048617,0,0.0,0.9063722003111243,0,0.0
905.0,0,0.0,0.0,12.50076226831842,0,0.0,0.9621671704318768,0,0.0
910.0,0,0.0,0.0,13.249955191743474,0,0.0,0.9614301676331826,0,0.0
915.0,1,3.0,1.0,8.927160293779343,1,3.0,0.6138385586432431,1,3.0
920.0,2,10.0,3.3333333333333335,0.3226026005823448,2,10.0,0.019660144225218227,2,10.0
925.0,3,25.0,8.333333333333334,0.0,3,25.0,0.0,3,25.0
930.0,0,0.0,0.0,5.448482789721751,0,8.0,0.1895529149064744,0,8.0
935.0,0,0.0,0.0,13.086311737677738,0,0.0,0.9859619674787063,0,0.0
940.0,0,0.0,0.0,10.153586720138481,0,0.0,0.48098761616095326,0,0.0
945.0,1,5.0,0.8333333333333334,9.916398391546531,1,5.0,0.4897214934207269,1,5.0
950.0,0,0.0,0.0,11.035755671919752,0,0.0,0.9088540002706482,0,0.0
955.0,0,0.0,0.0,11.689981538703002,0,0.0,0.5497011966922705,0,0.0
960.0,1,2.0,0.5,9.873017628525343,1,2.0,0.4591010131000076,1,2.0
965.0,1,7.0,1.75,9.152227765051546,1,7.0,0.6502610685568547,1,7.0
970.0,0,0.0,0.0,9.084890955196567,0,0.0,0.9462009903263329,0,0.0
975.0,0,0.0,0.0,11.87799607424498,0,0.0,0.9823818624521206,0,0.0
980.0,0,0.0,0.0,11.518300406876138,0,0.0,0.9359128423494597,0,0.0
985.0,0,0.0,0.0,11.311877709449385,0,0.0,0.9212840599316658,0,0.0
990.0,0,0.0,0.0,11.367140092839819,0,0.0,0.9308341774518005,0,0.0
995.0,1,1.0,0.5,6.193854550325112,1,1.0,0.4703066153754386,1,1.0
1000.0,0,0.0,0.0,5.153746229534015,0,0.0,0.31317233675116785,0,0.0
1005.0,0,0.0,0.0,12.398543889589961,0,0.0,0.9792622377132999,0,0.0
1010.0,0,0.0,0.0,11.673582882982295,0,0.0,0.9755523329362636,0,0.0
1015.0,0,0.0,0.0,11.143071844395594,0,0.0,0.8914236229576091,0,0.0
1020.0,0,0.0,0.0,12.40088683456227,0,0.0,0.965076097170079,0,0.0
1025.0,0,0.0,0.0,9.172634758156002,0,0.0,0.4884307023562467,0,0.0
1030.0,1,4.0,1.3333333333333333,9.26477052258191,1,4.0,0.0,1,4.0
1035.0,1,9.0,4.5,6.63022609514954,1,9.0,0.0,1,9.0
1040.0,0,0.0,0.0,5.236506131873465,0,0.0,1.0,0,0.0
1045.0,0,0.0,0.0,11.111511538737991,0,0.0,1.0,0,0.0
1050.0,0,0.0,0.0,11.033506938839869,0,0.0,1.0,0,0.0
1055.0,0,0.0,0.0,11.97033009862378,0,0.0,0.9480812190609893,0,0.0
1060.0,0,0.0,0.0,11.84876471088817,0,0.0,0.9558013926386472,0,0.0
1065.0,0,0.0,0.0,12.967760412664298,0,0.0,0.9412881271042006,0,0.0
1070.0,0,0.0,0.0,14.519726081435264,0,0.0,0.97449114471079,0,0.0
1075.0,0,0.0,0.0,14.722366051525503,0,0.0,0.9880913225178549,0,0.0
1080.0,0,0.0,0.0,14.3446624894493,0,0.0,0.962741755005036,0,0.0
1085.0,1,1.0,1.0,0.03769225367330851,1,1.0,0.002529714901150606,1,1.0
1090.0,0,0.0,0.0,10.473996521009289,0,0.0,0.955225432662486,0,0.0
1095.0,0,0.0,0.0,12.762082523772856,0,0.0,0.9315125534332438,0,0.0
1100.0,0,0.0,0.0,13.042797976511274,0,0.0,0.9508626894125447,0,0.0
1105.0,0,0.0,0.0,12.91644109530046,0,0.0,0.9389471715257047,0,0.0
1110.0,0,0.0,0.0,13.405302760552358,0,0.0,0.979803015470138,0,0.0
1115.0,0,0.0,0.0,13.440840535414065,0,0.0,0.9968520929757874,0,0.0
1120.0,0,0.0,0.0,11.05777602910707,0,0.0,0.5098189849027646,0,0.0
1125.0,1,5.0,1.6666666666666667,8.721343821458156,1,5.0,3.4553732326891145e-05,1,5.0
1130.0,0,0.0,0.0,10.456814607182649,0,0.0,1.0,0,0.0
1135.0,0,0.0,0.0,13.944405451638163,0,0.0,1.0,0,0.0
1140.0,0,0.0,0.0,14.001663885291558,0,0.0,0.9490330600063793,0,0.0
1145.0,0,0.0,0.0,14.23415271070596,0,0.0,0.9925228675630247,0,0.0
1150.0,0,0.0,0.0,13.808933671734893,0,0.0,1.0,0,0.0
1155.0,0,0.0,0.0,14.295086299672773,0,0.0,0.9482483024304923,0,0.0
1160.0,0,0.0,0.0,15.525682325812491,0,0.0,1.0,0,0.0
1165.0,0,0.0,0.0,14.39705263015276,0,0.0,0.941020469252084,0,0.0
1170.0,0,0.0,0.0,12.563625783090417,0,0.0,0.8117242630554452,0,0.0
1175.0,0,0.0,0.0,11.910721287940653,0,0.0,0.722600999536835,0,0.0
1180.0,1,3.0,0.75,3.757611579844955,1,3.0,0.29172457837153865,1,3.0
1185.0,4,15.0,3.75,0.0033300671673235217,4,15.0,0.00025250969941380296,4,15.0
1190.0,4,35.0,8.75,0.0,4,35.0,0.0,4,35.0
1195.0,3,43.0,10.75,1.2219429758028126,3,43.0,0.0,3,43.0
1200.0,3,58.0,14.5,3.005998767158445,3,58.0,0.0,3,58.0
1205.0,3,73.0,12.166666666666666,6.916585908283895,3,73.0,0.37986125981498386,3,73.0
1210.0,3,88.0,14.666666666666666,7.315130738401362,3,88.0,0.47154722541962135,3,88.0
1215.0,3,103.0,17.166666666666668,4.338514413914983,3,103.0,0.29558959091137466,3,103.0
1220.0,4,123.0,20.5,1.9549708334478488,4,123.0,0.13050919700133343,4,123.0
1225.0,6,149.0,24.833333333333332,0.005720735284621795,6,149.0,0.0003817052749707449,6,149.0
1230.0,2,16.0,2.2857142857142856,4.024612969340098,2,108.0,0.24215379591034383,2,108.0
1235.0,2,26.0,3.7142857142857144,9.032624862637382,2,26.0,0.32122289726701636,2,26.0
1240.0,2,36.0,9.0,4.708001502904165,2,36.0,0.05780970628272372,2,36.0
1245.0,3,49.0,12.25,4.289690531645944,3,49.0,7.751885378546805e-05,3,49.0
1250.0,2,56.0,18.666666666666668,1.8793476309549686,2,56.0,0.0,2,56.0
1255.0,2,66.0,22.0,4.667774160244139,2,66.0,0.0,2,66.0
1260.0,2,76.0,25.333333333333332,4.72777430094525,2,76.0,0.0,2,76.0
1265.0,2,86.0,17.2,8.89139072729739,2,86.0,0.5,2,86.0
1270.0,2,96.0,19.2,8.682782995873119,2,96.0,0.4869788844707261,2,96.0
1275.0,2,106.0,26.5,7.270436119603249,2,106.0,0.3056072199392776,2,106.0
1280.0,2,116.0,29.0,7.247450371261943,2,116.0,0.0,2,116.0
1285.0,2,126.0,25.2,8.422293216409619,2,126.0,0.3307349555784763,2,126.0
1290.0,0,0.0,0.0,8.200520067185701,0,0.0,0.08725619590909833,0,0.0
1295.0,1,5.0,1.25,10.190100850423708,1,5.0,0.0,1,5.0
1300.0,1,10.0,5.0,4.858026516044103,1,10.0,0.4416034459101547,1,10.0
1305.0,2,17.0,8.5,0.0,2,17.0,0.0,2,17.0
1310.0,2,27.0,9.0,5.306906000000001,2,27.0,0.3333333333333333,2,27.0
1315.0,2,37.0,9.25,3.7783782734575233,2,37.0,0.2757707544964407,2,37.0
1320.0,0,0.0,0.0,7.17234391437441,0,15.0,0.6417315516439502,0,15.0
1325.0,0,0.0,0.0,10.258001300784468,0,0.0,0.5322453224132999,0,0.0
1330.0,0,0.0,0.0,10.241098119600249,0,0.0,0.9756091152449295,0,0.0
1335.0,0,0.0,0.0,11.71554876019211,0,0.0,1.0,0,0.0
1340.0,0,0.0,0.0,11.84626134582953,0,0.0,0.9581924607287601,0,0.0
1345.0,0,0.0,0.0,11.486300487872967,0,0.0,0.9419199793470826,0,0.0
1350.0,0,0.0,0.0,11.43805582868942,0,0.0,1.0,0,0.0
1355.0,0,0.0,0.0,12.539312992280959,0,0.0,1.0,0,0.0
1360.0,0,0.0,0.0,12.088136282333972,0,0.0,0.9261358030684335,0,0.0
1365.0,0,0.0,0.0,13.25037250315755,0,0.0,0.9894930727863864,0,0.0
1370.0,0,0.0,0.0,13.0317449349047,0,0.0,1.0,0,0.0
1375.0,0,0.0,0.0,15.174555501296624,0,0.0,0.9819490070309602,0,0.0
1380.0,0,0.0,0.0,14.50120792458522,0,0.0,0.9664304445774521,0,0.0
1385.0,0,0.0,0.0,8.536769556184137,0,0.0,0.4644514780398101,0,0.0
1390.0,1,3.0,0.75,8.631798525995823,1,3.0,0.0002530709952212798,1,3.0
1395.0,1,8.0,2.6666666666666665,8.051777910559776,1,8.0,0.49365310720919725,1,8.0
1400.0,1,13.0,4.333333333333333,8.3625382816441,1,13.0,0.4903124695802097,1,13.0
1405.0,1,18.0,4.5,9.35994938019609,1,18.0,0.6385062942047273,1,18.0
1410.0,1,23.0,4.6,9.145382759674991,1,23.0,0.5842350244958932,1,23.0
1415.0,2,30.0,7.5,6.780264241836524,2,30.0,0.31691678267596296,2,30.0
1420.0,2,40.0,13.333333333333334,0.6732991816550307,2,40.0,0.045859662427726884,2,40.0
1425.0,3,54.0,18.0,4.05411371820929e-05,3,54.0,2.761332430312565e-06,3,54.0
1430.0,2,60.0,20.0,2.14446415163887,2,60.0,0.0,2,60.0
1435.0,2,70.0,17.5,6.430020838142793,2,70.0,0.3333333333333333,2,70.0
1440.0,0,0.0,0.0,7.990705445023773,0,0.0,0.49385963708800973,0,0.0
1445.0,1,4.0,0.8,10.536245254175245,1,4.0,0.5,1,4.0
1450.0,0,0.0,0.0,11.198722953344568,0,0.0,0.9887400278676048,0,0.0
